drug,inchikey,level,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
a22,LZTCFLDZLBOLDW-UHFFFAOYSA-N,A4,0.089737304,-0.089737147,-0.089737304,0.089737304,0.089737304,-0.089737304,0.089737304,-0.089737304,0.076444283,0.089737304,-0.089432202,-0.089737304,0.089737304,-0.089091145,-0.089737304,0.089728385,0.089737304,0.089737304,0.089737304,0.089737304,0.089737214,0.089674555,0.089737304,-0.089737304,0.089737304,-0.089737304,-0.089737229,0.086162597,0.089737304,0.089737304,0.08973714,0.089737304,-0.089711696,-0.089737207,-0.089737304,0.089737304,0.089736894,-0.089725859,0.089737304,0.089737304,0.089737304,0.088325575,0.089737304,0.089737304,0.089737304,-0.089737304,0.089737304,-0.089737304,0.089737304,0.089737304,0.089737304,0.089619271,-0.089735165,0.089737304,-0.089737304,0.089737304,0.089737289,-0.08313825,0.089737304,0.089737304,0.089737304,0.089737304,0.089737259,0.089737304,0.054606188,-0.089669779,-0.089737304,-0.089737304,-0.089737304,-0.089737304,-0.089737304,0.08930099,0.089737304,0.089737304,0.089737304,-0.088895805,0.08973714,-0.059468735,-0.089737304,0.089737304,0.086143397,-0.089737274,-0.089737304,0.089737304,0.089703992,0.088224232,-0.089737304,0.089737304,-0.089737304,-0.089704201,0.089735821,0.089737304,-0.089737304,0.089737304,0.089737304,-0.089737251,0.089737304,0.088493153,0.088242054,-0.089737304,0.089737304,-0.089737304,-0.051492855,-0.089737304,0.089737304,-0.088950023,-0.089737304,0.089737304,0.089737304,-0.089737304,0.089370675,-0.084006801,-0.089737304,-0.087088339,-0.089656368,-0.089737304,-0.089737304,0.089737304,-0.019864451,-0.089737304,0.089737304,0.089737304,0.089737304,-0.087857082,-0.089737304,-0.089697175,-0.089737304,-0.089737229
acetylsalicylicacid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,A4,-0.067347437,-0.087024927,-0.025344962,0.096639141,-0.096963711,-0.027352273,0.078646332,0.096935503,0.091518924,0.096876748,-0.093076766,-0.09195751,-0.094832681,-0.093434222,0.087467752,0.07509651,-0.095635556,0.096965909,-0.096951403,-0.084998585,-0.038267687,-0.068681329,-0.091228202,-0.096953683,0.095450111,0.079420917,-0.09338627,-0.096617803,-0.095139451,0.090909526,0.061889779,0.096969046,0.0969707,0.09578371,-0.053812075,-0.096016854,0.096969359,-0.096876934,-0.096884452,0.075774506,-0.091027461,0.096968152,0.096257709,0.013288972,0.096426889,-0.096972644,-0.094978705,-0.096971214,0.083611175,-0.09367986,0.091329843,-0.028413896,0.09032882,0.095402442,-0.094722703,-0.068415388,-0.09576875,0.084753469,-0.096585773,-0.058009405,-0.081205547,0.092650354,0.030689899,-0.090194657,-0.096891366,0.076728545,-0.094687246,-0.094408423,0.086042993,0.095664322,0.093716547,0.094847083,-0.0720843,-0.07751397,0.096964918,-0.096973285,-0.096090727,0.0841759,-0.092272118,-0.084464222,-0.096944109,-0.096965961,0.096962593,-0.096720174,0.093587965,0.066631578,0.094923988,-0.096128494,0.093807526,-0.096973293,-0.087178595,-0.096875653,-0.095485687,-0.096914172,0.0607531,-0.093876585,0.095510349,-0.083639883,-0.096799396,0.094165467,-0.094775721,-0.096968122,-0.095552027,-0.096963964,0.096933544,-0.082773432,-0.09696041,-0.09696807,-0.018449485,-0.093068935,-0.087790661,0.096268117,0.096696138,0.0968839,-0.050025944,-0.096762754,-0.096026555,0.09696351,-0.096973315,0.096640766,0.096966587,0.046659928,-0.096730269,0.096963868,0.095698975,0.045519352,-0.096954741,-0.096281216
amikacin,LKCWBDHBTVXHDL-RMDFUYIESA-N,A4,0.089703247,-0.089703247,0.089015104,0.089703247,0.089703247,0.089703247,-0.089703247,-0.089703247,-0.089703247,0.089703247,0.089703247,-0.089703247,-0.089703247,0.089703247,-0.089703247,0.089703247,-0.089703247,0.089703247,-0.089703247,0.089703247,-0.076090917,-0.089703247,0.089703247,-0.089703247,-0.089703247,-0.089379258,-0.089703247,0.089703247,0.089703247,-0.089649342,-0.089703247,0.089703247,0.089697443,-0.089703247,0.089692727,-0.089703247,-0.089703247,-0.089703247,-0.089703247,0.089703247,0.089703202,0.089702919,-0.089703247,0.089703247,-0.089703247,0.089703247,0.089703247,-0.089703247,-0.061965249,0.089703247,-0.086588196,-0.089703247,0.04913754,0.089703247,0.089703247,-0.089703247,-0.053418498,-0.08805088,-0.089702621,-0.089703247,0.089567155,-0.089703187,-0.089703247,-0.089703247,-0.089703247,-0.089703247,0.089703247,-0.089703247,0.089703247,0.089703247,-0.077770434,-0.089703247,-0.089703247,0.089692309,-0.089703247,0.089703247,-0.086854219,0.089703247,0.089703247,0.089703247,0.089703247,0.089698702,0.089662217,-0.089703247,-0.089703247,-0.089703247,0.048638713,0.089703247,0.089703247,0.089703247,-0.089703247,-0.089703247,0.083033241,-0.089703247,-0.089703247,0.076208547,0.089641303,-0.089703247,0.089703247,0.089703247,-0.089703247,0.089703247,0.089703247,0.089703247,0.089703247,-0.089703247,-0.089703247,-0.089703247,0.089703247,-0.089703247,-0.089703247,0.089703247,-0.089703247,-0.089703247,-0.089703247,-0.089703247,0.089703247,-0.089703247,-0.089703247,-0.089703172,0.089703247,-0.089703247,0.089658372,0.089585595,-0.089703247,0.089703247,0.089703247,-0.089703247
aminosalicylate sodium,GMUQJDAYXZXBOT-UHFFFAOYSA-M,A4,-0.090843312,-0.090843312,-0.090843312,0.090843312,-0.090843312,-0.090843312,0.090843312,-0.088988721,-0.090840772,0.050656356,0.090843312,-0.090843312,-0.090843312,-0.090843312,0.090827569,-0.007441218,0.090834513,-0.083504923,-0.082172565,0.090843312,-0.090843312,-0.090843312,-0.089607835,-0.09073852,0.090843223,-0.090842657,-0.090842113,-0.081726953,0.090843312,-0.090843312,-0.090843178,0.090843312,0.090843312,-0.090842754,0.090843312,0.087408267,-0.04164419,-0.09083125,0.090843268,-0.090843312,0.090843312,0.090609923,-0.084166832,0.090843312,0.090842679,-0.090843312,0.09001331,-0.090843312,0.090843312,0.090843312,0.090843298,0.090843312,0.090843312,0.090843163,-0.084217861,0.090797134,0.090843312,-0.066610992,0.090840608,0.090843216,0.090827838,0.090843283,-0.090843312,-0.090842493,-0.090843312,-0.090843312,0.090843223,0.053579159,0.090843312,-0.090824068,0.090843312,0.090843312,0.089478821,-0.09035255,0.090843134,-0.090843312,-0.089016974,0.090843111,0.073063791,0.090843312,-0.090843312,-0.090843312,0.090500109,-0.090843312,0.090843312,-0.090843149,0.090843312,0.090843312,-0.090835132,-0.08880651,0.0896006,-0.090843312,-0.067727968,-0.090843268,0.090843312,-0.090843312,0.090134904,-0.090842746,-0.090841204,0.085045449,-0.090843312,-0.090843312,0.065892152,-0.090843312,-0.070783935,-0.090839639,-0.090843312,-0.090843312,0.076723121,-0.090840511,-0.090843312,-0.090843312,0.090843312,-0.090843312,0.09084139,0.090841539,0.090453863,0.090843312,-0.090843312,0.090843178,0.090843283,-0.090843312,-0.090843312,0.090843312,-0.090843312,-0.090843216,-0.090843312,-0.090841383
aminosalicylic acid,WUBBRNOQWQTFEX-UHFFFAOYSA-N,A4,0.090151154,-0.090151154,-0.090151154,0.090151154,0.090151154,-0.090151154,0.090151154,-0.090151154,-0.090151154,-0.01042985,0.090151154,-0.090151154,-0.090151154,0.090117633,-0.090151154,0.090151154,0.090151154,0.090151154,0.090151154,0.090151154,0.090150125,-0.085817941,0.090151154,-0.090151154,0.090099357,-0.090151154,-0.087316394,-0.090151154,0.090151154,0.090151154,-0.090151154,0.090151154,0.090151154,-0.090151154,0.090151154,0.08342132,-0.090151154,-0.090151154,-0.090151154,0.090151154,0.090151154,0.090151154,0.08874128,0.090151154,0.090150967,0.090151124,0.090151154,-0.090151154,0.090151154,0.090151154,0.090151154,-0.088306226,-0.090151154,0.08638832,0.090151154,0.090151154,-0.090151154,0.090151154,-0.090097815,-0.090151154,0.089450419,0.090050496,-0.090151154,-0.090146087,-0.090151154,0.090151004,-0.090151154,-0.090151154,-0.090151154,0.090151072,0.090151154,-0.090151154,-0.090151154,0.090151154,0.090151154,-0.090151154,-0.090150766,0.090151154,0.090151154,0.090151154,-0.090151154,-0.090151154,0.090151154,-0.090151154,0.090151154,-0.090151154,-0.090151154,0.090151154,0.090151154,-0.047685869,-0.090151154,-0.090151154,-0.069101125,0.090018943,0.090151086,-0.090151154,-0.000531843,-0.090150028,-0.082646959,0.09005855,-0.090151154,-0.090151154,-0.090151154,-0.090151154,0.070739403,-0.090150565,-0.090151154,-0.090151154,0.090151154,-0.090151154,-0.090151154,0.090151154,-0.090151154,-0.090151154,-0.090151154,-0.090151154,-0.089798138,-0.090022229,-0.090151154,0.089911275,0.090151154,-0.090151109,-0.090151154,0.090151154,-0.090151154,0.040410858,0.090151154,-0.090151154
amoxicillin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,A4,-0.104846239,-0.049723439,0.093500905,-0.104436405,-0.0202653,-0.077345848,-0.101540878,0.100428045,0.023622414,0.047315102,-0.098690026,0.096899323,-0.104435883,0.105124928,0.023072386,-0.022358865,-0.070790671,0.066349655,-0.022791466,0.091080181,-0.099340938,0.095046476,0.105141059,0.100995198,0.095473997,0.017911196,-0.041548565,-0.105019234,-0.102835849,-0.022019999,-0.105104461,-0.073695496,-0.097276375,0.104967773,-0.10178344,-0.102724887,0.104736514,0.105102055,-0.063143298,-0.080706984,0.104091026,0.01830256,-0.059588183,-0.087386817,-0.088659376,-0.022158712,0.086163618,0.01380329,0.104490384,0.093805693,-0.100282028,0.104081362,0.045980968,-0.086644061,0.105107278,0.097996496,0.045186341,-0.006045227,0.105079196,0.031970672,0.10485515,-0.104854569,-0.098123178,-0.105046272,-0.104828693,-0.099030092,0.10258235,0.105142221,0.085052669,0.10489215,-0.011263571,0.049861223,0.091849484,0.104673035,-0.104898334,0.104743466,-0.050236624,-0.104890928,-0.085524708,-0.103387304,-0.104698442,-0.105037071,0.100430459,-0.102348365,-0.103557341,-0.099296756,0.09993726,-0.069792524,0.105143167,0.105106629,-0.105130166,-0.08083047,0.104365446,-0.104911476,0.076432146,0.080017604,-0.103733823,0.011431525,0.082908817,0.105142504,0.073763907,0.103992246,0.085831918,0.104922622,-0.067615502,0.104875602,0.083914384,0.097024478,0.001914364,0.090436451,0.091138691,-0.10369394,-0.091119744,-0.105075479,0.104529046,-0.100495018,0.102246895,-0.104909562,0.000717188,0.104406372,-0.02497017,-0.101344794,0.10362839,-0.060691442,0.085974216,-0.105027266,-0.102596253,0.097430207
ampicillin,AVKUERGKIZMTKX-NJBDSQKTSA-N,A4,-0.103473023,-0.038117588,0.08579807,-0.103638098,-0.061332267,-0.092132322,-0.099904917,0.101152338,0.084057748,0.053580821,-0.098519087,0.102983691,-0.103204831,0.103880733,-0.007217649,-0.035363477,-0.084186904,0.090429477,0.034872159,0.100329302,-0.091897205,0.095504239,0.103900075,0.099794254,0.095297202,0.061904997,-0.017957658,-0.103869393,-0.103399053,-0.076722182,-0.103846848,-0.042839527,-0.09775535,0.103787705,-0.099261872,-0.09559451,0.10194765,0.103751168,-0.0871794,-0.097473256,0.102391459,-0.017647294,-0.079528116,-0.098377116,-0.099496119,0.026080584,0.077506661,0.032721791,0.102993704,0.07870765,-0.097873509,0.1034979,0.027573695,-0.055931795,0.103886887,0.067552254,-0.031256832,-0.074219696,0.103834137,-0.011665487,0.103695109,-0.103592202,-0.018777885,-0.103798628,-0.100764476,-0.082343362,0.099479817,0.103902496,0.001534851,0.103799537,0.08486931,0.013759105,0.09414804,0.103080325,-0.097661048,0.100926578,-0.025924711,-0.103674248,-0.072853886,-0.100812398,-0.103274606,-0.10344509,0.087294988,-0.102805875,-0.102526471,-0.098991752,0.095219538,-0.093922749,0.103899263,0.103571095,-0.103893109,-0.08416564,0.103006475,-0.101658955,-0.025228364,0.099315479,-0.101294406,0.034484558,0.024572114,0.103903301,0.077151068,0.103779361,0.094265871,0.103372432,-0.072045512,0.101778582,0.102861419,0.102025315,0.03175398,0.081027441,0.097927183,-0.101479456,-0.082006581,-0.103798658,0.103570305,-0.101208627,0.101444565,-0.102926224,0.06788224,0.103686273,-0.05098575,-0.10276223,0.101924405,-0.089592613,0.093824334,-0.103708275,-0.09646824,0.094924606
anisomycin,YKJYKKNCCRKFSL-RDBSUJKOSA-N,A4,0.089560375,-0.089560375,0.089560375,0.089560375,0.089560375,0.089560375,-0.0837887,-0.089560375,0.089560375,0.089560375,0.089560375,-0.089560375,-0.089560375,0.089560375,-0.089560375,0.089560375,-0.089560375,0.089560375,-0.089560375,0.089560345,0.089540914,-0.089560226,0.089560375,-0.089560375,-0.089560375,-0.072926231,-0.089560375,-0.088849477,0.089560375,-0.089535251,-0.089560375,0.089560375,0.089560375,-0.089560375,0.089560375,-0.089560375,-0.089560375,-0.089560375,-0.089560375,0.089560375,0.089560278,0.089560375,0.089249991,0.089353748,-0.089560375,0.089560375,-0.089535512,-0.089560375,-0.089560375,0.089560375,0.089560375,-0.089560375,-0.000616039,0.089560375,0.089560375,-0.089560375,-0.089560375,-0.088924579,-0.089560375,-0.089560375,-0.089560375,-0.083328977,-0.085072972,-0.089560375,-0.089560375,0.089560375,0.08956036,-0.089560375,-0.088782549,0.078081273,0.089560375,-0.089560375,-0.089560375,-0.079842456,-0.089560375,0.089560375,-0.089560375,0.089560375,0.089560375,0.089560375,0.089560375,-0.085659586,0.089560375,-0.089560375,-0.089560375,-0.089560375,-0.089560375,0.089560375,0.089558996,0.089560345,-0.089560375,-0.089560375,-0.089560375,0.089207575,-0.089560375,0.089560375,0.08698269,-0.089560375,-0.089525983,0.089560375,-0.089560375,0.089560375,0.08955881,-0.089543134,0.089560375,-0.089560375,-0.089560375,-0.089560375,0.089560375,-0.089560375,-0.089560375,0.089560129,-0.089560375,-0.089560375,-0.089560375,-0.089560375,0.089560375,-0.089560375,-0.089560375,0.089560375,0.089560375,-0.089560375,-0.013324835,0.089559898,-0.089553952,0.089560375,0.089560375,-0.089560375
ansamicin,ATEBXHFBFRCZMA-VXTBVIBXSA-N,A4,0.087347083,0.10090293,0.006666553,0.098392837,0.061109696,0.100949124,-0.091834664,-0.086160183,-0.094173513,0.00812033,-0.097627833,0.098971307,-0.083844841,0.100950181,-0.100942858,0.100945644,-0.100934543,0.100950539,0.100950383,-0.061397199,0.031260855,0.100917213,0.100855306,-0.025453042,-0.051111247,0.100916527,0.10093797,-0.100935951,0.04557512,-0.099924155,-0.100950539,-0.100869581,0.096508294,0.023153029,-0.028206907,-0.082199171,-0.099633127,-0.030601669,0.100735664,-0.093863629,-0.049897086,-0.099694468,-0.100931324,0.074095465,0.078415528,-0.097519889,0.100950278,-0.100949846,-0.100945741,-0.047033202,0.068684109,-0.100867786,-0.100950539,0.099130899,0.095951065,-0.100950465,-0.097214244,0.100735344,0.100937217,0.100523308,-0.017665131,0.100941576,0.040811092,-0.100882001,-0.100950539,0.100921258,0.053440277,0.100848302,-0.079508945,0.040697586,0.100944951,0.004574317,0.047989175,0.100889474,0.097313121,-0.100950301,-0.099161506,-0.09205959,-0.081920646,0.077496275,0.060848869,-0.037191175,-0.100842282,-0.03770851,-0.100948647,-0.040524632,0.098767638,-0.100950539,0.085305087,-0.091876037,-0.100950539,-0.100945391,0.100949615,-0.094133988,-0.095661759,0.098205671,-0.100933798,-0.09499485,0.088006079,0.100950539,0.100817449,0.100945674,0.100098848,0.100950122,0.100950539,-0.10082303,0.099892683,0.100936525,0.100744329,-0.100948982,0.035431497,0.100920878,0.100548372,-0.100950465,0.003338804,-0.100938782,0.100945257,-0.100012064,-0.076429553,0.065662563,-0.100948244,-0.100950524,0.100636214,-0.10095048,-0.099173352,0.086852573,-0.003495912,-0.09202598
aphidicolin,NOFOAYPPHIUXJR-APNQCZIXSA-N,A4,0.090735227,-0.091257781,-0.091257572,0.091257781,0.091257781,0.091257647,0.073368534,-0.091257729,-0.089697339,-0.090064459,0.091257781,0.091257781,-0.077446125,0.091257781,-0.091257781,0.091225289,-0.091257781,0.091257781,-0.090616643,-0.091214947,-0.091257781,0.091257781,0.091257781,-0.091257781,0.091257587,0.091257699,-0.091257781,-0.091257781,-0.091257781,-0.091257781,-0.091257781,-0.089213416,-0.091257781,-0.091257781,-0.091254123,-0.091257349,-0.091257781,-0.091257781,-0.091257781,-0.091257781,-0.091243304,0.091257781,0.091256946,0.091249928,-0.091257781,0.091053613,0.008062629,-0.091257781,-0.091257781,-0.091257781,-0.091257781,-0.091257781,0.078685641,0.091257781,0.091257758,-0.091257781,-0.091257781,-0.091257244,0.091257781,-0.091243014,-0.091257781,0.091257781,-0.049793959,-0.091257781,-0.038122945,0.091257706,-0.090848193,-0.091222569,0.090829909,-0.091256782,-0.090848655,-0.091257781,0.087333567,-0.057644956,-0.091257781,0.091257781,-0.091257781,0.091257781,0.059415422,-0.090492047,0.091257781,0.091257781,0.091257781,-0.091257781,-0.091257781,0.091018274,-0.091257781,-0.091257781,0.091257736,0.026193194,-0.091257781,-0.091257781,0.091257781,0.091257766,0.090828396,0.091257781,-0.091257781,0.091257289,0.091257781,0.091257781,0.09125609,0.091257781,0.080510549,0.091257781,0.091257781,-0.091257781,0.071123004,0.083156653,-0.091249496,-0.021478064,-0.091257781,0.091257781,0.091257356,-0.091257781,-0.091257781,-0.091257781,0.091257781,-0.091257781,-0.091253884,0.090812497,-0.070721418,-0.091257781,0.091257684,-0.091257781,-0.091257781,0.091257781,0.091257781,-0.091257781
apramycin,XZNUGFQTQHRASN-XQENGBIVSA-N,A4,0.089635223,-0.089635223,0.087363489,0.089635223,0.089635223,0.089635223,-0.089635223,-0.089635223,-0.089635223,0.089635223,0.089635223,-0.089635223,-0.089635223,0.089635223,-0.089635223,0.089635223,-0.089635223,0.089635223,-0.089635223,0.089635223,0.068486132,-0.089635223,0.089635223,-0.089635223,-0.089635223,-0.089385957,-0.089635223,0.089635223,0.089635223,-0.089589797,-0.089635223,0.089635223,0.089635223,-0.089635223,0.089635223,-0.089635223,-0.089635223,-0.089635223,-0.089635223,0.089635223,0.089633025,0.089635223,-0.089633554,0.089635223,-0.089635223,0.089635223,0.089635223,-0.089635223,-0.062025391,0.089635223,-0.08595252,-0.089635223,-0.089627266,0.089635223,0.089635223,-0.089635223,-0.089629665,-0.087771431,-0.089635223,-0.089635223,-0.081519611,-0.089634947,-0.089635223,-0.089635223,-0.089635223,-0.089635223,0.089635223,-0.089635223,0.089635223,0.089635223,0.088068217,-0.089635223,-0.089635223,-0.026101936,-0.089635223,0.089635223,-0.089273505,0.089635223,0.089635223,0.089635223,0.089635223,0.088773951,0.089633174,-0.089635223,-0.089635223,-0.089635223,-0.089495242,0.089635223,0.089635223,0.089635223,-0.089635223,-0.089635223,0.062810838,-0.089570768,-0.089635223,0.082160778,-0.08795017,-0.089635223,0.089635223,0.089635223,-0.089635223,0.089635223,0.089635223,0.089635223,0.089635223,-0.089635223,-0.089635223,-0.089635223,0.089635223,-0.089635223,-0.089635223,0.089635223,-0.089635223,-0.089635223,-0.089635223,-0.089635223,0.089635223,-0.089635223,-0.089635223,-0.08962182,0.089635223,-0.089635223,-0.05956265,0.089590341,-0.089635223,0.089635223,0.089635223,-0.089635223
aspoxicillin,BHELIUBJHYAEDK-OAIUPTLZSA-N,A4,-0.103497446,-0.06691613,0.091157243,-0.10339205,0.102889061,-0.035235625,-0.103188567,0.092788972,-0.100482985,0.053217843,-0.103087887,0.096133381,-0.101839319,0.10351038,0.068391368,-0.091574349,-0.084732972,-0.00063552,-0.090226479,0.023854518,-0.102383889,0.102923371,0.103516661,0.030323403,0.093675472,0.094646305,-0.001516605,-0.093863189,-0.102979496,0.098592788,-0.103509657,0.01449254,-0.093852639,0.089509092,-0.103261538,-0.097652808,0.103459232,0.103515975,0.061522216,-0.066491924,0.098791741,-0.034037184,-0.10265135,-0.070885196,-0.05463279,-0.103221029,0.100383036,-0.100651659,0.103148855,0.103480622,-0.103412829,-0.075677268,0.026483448,-0.084939569,0.103290007,0.10327328,0.036301624,0.00216666,0.103508599,0.060877919,0.103073336,-0.103364401,-0.103469931,-0.103515089,-0.103511736,-0.102177911,0.103412621,0.103511438,0.10331089,0.102880754,-0.096552677,0.089075364,-0.016884034,0.10351032,-0.103516504,0.103507578,0.042263802,-0.103419431,-0.088030159,-0.10309504,-0.097978547,-0.103484333,0.103074603,-0.103182539,-0.061193217,0.013200227,0.103428453,-0.017457057,0.103516676,0.103516474,-0.103515826,-0.099733777,0.103492923,-0.103514791,0.092628181,-0.016832279,-0.102401733,-0.098950677,0.100072809,0.103465252,0.102169104,0.103125237,0.029894447,0.103483707,-0.030790541,0.103457972,0.05195507,0.072167575,0.013775244,0.08550436,0.087100111,-0.060340203,-0.103495367,-0.10351564,0.102764249,-0.084816985,0.103394307,-0.103513546,-0.04906268,0.062202387,-0.081098147,-0.093440965,0.102515474,0.052331705,0.032650076,-0.103505909,-0.093393289,0.088246308
atovaquone,BSJMWHQBCZFXBR-UHFFFAOYSA-N,A4,0.089805275,-0.089805275,0.089805275,0.089805275,0.089805275,0.089805275,-0.089805275,0.089805275,0.089805275,-0.089780927,-0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089407548,-0.089805275,0.089805275,0.089805275,-0.089775212,0.08852078,0.089805275,-0.089805275,0.089805275,0.089786589,0.089805275,0.089805275,-0.089805275,0.060191069,-0.089805275,0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,0.089805275,0.089805275,-0.089805275,0.089805275,-0.089805275,0.089805275,-0.089805275,0.089805275,-0.089805275,0.089804806,0.072759949,0.089805275,0.089805275,0.089805275,-0.089805275,-0.089805275,0.0111723,-0.089805193,-0.089805275,-0.089805275,0.024643552,0.089805275,0.089708515,-0.089805275,-0.020388318,-0.089805275,-0.089473568,-0.089805275,0.089805275,-0.089805275,0.089805275,0.088218369,-0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089805275,0.089805275,0.089805275,0.089805275,0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089798428,0.089805275,0.088498048,0.089805275,0.089805275,-0.089340322,-0.089805275,-0.089805275,0.08972872,0.089805275,0.089805275,-0.089805275,-0.089805275,0.089805275,0.089803666,-0.089805275,0.089805275,0.089805275,0.089805275,0.089805275,-0.089805275,-0.089805275,-0.089265585,-0.089805275,0.089805275,-0.089805275,-0.089805275,0.089805275,0.089805275,0.089805275,0.089800537,0.089713342,-0.084411032
auranofin,AUJRCFUBUPVWSZ-XTZHGVARSA-M,A4,-0.090442993,-0.090442993,-0.090442993,0.087802447,-0.090441979,0.090442993,0.090442993,0.089257009,-0.090323187,0.090442993,0.090442993,-0.09043961,-0.090257823,-0.089896053,0.090442993,-0.090442993,-0.090442993,0.090442993,-0.090442993,-0.083695099,-0.045564268,-0.045960378,-0.090442993,-0.090442993,-0.055872127,0.090442993,-0.084084652,-0.090442993,0.090356462,-0.090442993,0.090442993,0.090442993,0.090442993,0.089354888,0.090442993,0.090442955,0.090442993,-0.090442203,-0.090442993,0.001000534,-0.090442285,-0.090352163,0.090442993,0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442993,0.077003367,-0.090442993,-0.035032187,0.084215164,0.090442948,0.090442993,-0.090439945,-0.090442993,0.090442993,-0.09024775,0.087479547,0.086102486,0.088403545,-0.090442933,-0.08730907,-0.089242347,-0.090442993,0.090442993,-0.090442993,0.090399012,0.090442993,-0.090442993,-0.090438358,-0.078120098,-0.090442993,-0.090442993,0.090442993,-0.090442993,0.090442993,-0.090442993,-0.090442993,-0.090399459,0.090442941,-0.090442993,0.090216272,-0.090442993,0.090442702,0.090442993,0.090442993,-0.090442963,-0.090442993,-0.090442993,0.090442993,-0.090442993,0.08569409,-0.090442993,0.090442993,-0.090442963,-0.090442993,-0.090442993,0.090429537,0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442993,0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442993,-0.090442896,0.090442993,0.090442993,0.090442993,0.090442993,-0.090442993,0.090442993,-0.090442993,0.089543842,0.090442993,-0.090442993,-0.090442993,0.090442993,0.090442993,0.090442993,-0.090442993,0.07616695
avilamycin,XIRGHRXBGGPPKY-OTPQUNEMSA-N,A4,0.090301506,-0.022013372,0.090301402,0.090301506,-0.090300277,0.090301506,-0.090301454,0.090301506,0.082261756,0.090301506,-0.090286642,0.090115644,-0.090301506,0.090301506,-0.090301506,-0.090301506,-0.090301506,0.090301506,-0.090301506,-0.089955062,0.090301506,0.090301506,-0.090301506,-0.090301506,0.090301484,0.090296328,-0.013041189,-0.090301506,-0.090301506,0.082505122,-0.090301506,0.052721687,0.090301506,0.090301506,-0.090301506,-0.090301208,0.090301506,-0.090301506,-0.090301506,0.090301298,-0.090301506,0.090301506,0.089025624,-0.090301506,0.090301506,-0.090301506,0.090301506,-0.090301506,0.090301506,-0.090301506,0.090301506,-0.090301506,-0.090301506,0.090301506,0.090301506,-0.090301506,0.083181784,-0.090258487,0.090301506,-0.090301506,-0.090301506,0.090301506,0.090300709,-0.090301506,-0.090301506,0.090301506,-0.090301506,-0.090108134,-0.090301268,0.090301506,-0.090301506,0.090301506,0.054263648,-0.090301506,0.090301506,-0.090301506,-0.079606362,-0.090301506,-0.090301506,-0.090301506,-0.090043418,-0.09030088,-0.09027078,-0.090184338,-0.071107686,0.090301506,0.090301506,-0.090301506,-0.090300821,-0.090301506,-0.090301506,-0.090301506,0.090301506,-0.090301506,-0.090301506,0.060150951,0.090301506,0.090301506,0.090301506,0.090301506,-0.090301506,0.090301111,-0.090301506,0.090301506,0.090301506,-0.090301506,-0.090301506,-0.090301506,0.090301506,-0.088508457,-0.090301506,0.090301506,0.090301506,0.069957882,0.089971587,-0.090232193,-0.090301506,0.090301506,-0.090301506,0.090301506,-0.090301506,-0.090301506,0.090301506,-0.090301506,0.090301506,0.090301506,-0.090299703,-0.090301506
